id,renta_id,fecha_inicio,fecha_fin,precio
188,99,2024-07-14,2024-10-02,15037
189,99,2024-10-03,2025-02-04,10965
190,99,2025-02-05,2025-06-25,13776
191,100,2024-04-10,2024-06-10,7628
192,100,2024-06-11,2024-10-20,6214
193,100,2024-10-21,2025-03-22,7468
194,101,2024-10-05,2025-02-19,17292
195,102,2024-04-20,2024-10-07,20367
196,103,2023-10-02,2024-03-09,10939
197,104,2025-03-24,2025-09-17,8849
198,104,2025-09-18,2026-02-27,9079
199,104,2026-02-28,2026-05-15,8118
200,105,2024-10-28,2025-01-08,16466
201,105,2025-01-09,2025-03-24,20405
202,106,2023-08-22,2023-11-03,14705
203,107,2024-04-17,2024-07-21,21683
204,107,2024-07-22,2024-12-25,18298
205,108,2024-12-01,2025-02-06,17531
206,108,2025-02-07,2025-07-20,17089
207,108,2025-07-21,2025-12-27,19873
