id,edificio,habitaciones,banos,lat,lon,mascotas,tinaco,estacionamiento,activo,disponible,precio,arrendatario_id
75,Departamento,3,2,31.812480631952,-116.58971665428,False,False,0,False,False,16500,70
76,Departamento,4,1,31.90683992615,-116.727703038409,False,True,0,True,True,55517,50
77,Casa,3,2,31.904079202627,-116.574236316953,False,True,1,True,True,20000,78
78,Casa,3,2,31.8893018,-116.6851939,True,True,0,True,True,18000,33
79,Casa,2,1,31.9166,-116.588,False,True,1,True,False,7500,52
80,Casa,3,1,31.873405425081,-116.625732947412,True,True,0,True,True,30000,80
81,Casa,2,1,31.815329,-116.5883546,False,True,0,True,False,9500,14
82,Departamento,2,1,32.0683582,-116.6563926,False,True,1,False,True,18506,39
83,Casa,1,1,32.07601588,-116.62624858,True,True,1,False,True,6000,54
84,Casa,3,2,31.796213359012,-116.584704893403,True,True,0,True,True,11700,34
85,Departamento,2,1,31.811455483625,-116.605203778536,True,False,0,True,True,18500,66
86,Casa,3,2,31.779593350314,-116.596644045814,True,False,0,True,True,17500,31
87,Casa,2,1,31.815329,-116.5883546,True,False,1,True,True,15500,26
88,Casa,2,1,31.815329,-116.5883546,False,False,0,True,True,14500,83
89,Departamento,3,1,31.86390261375,-116.638056087168,False,False,0,True,True,20000,84
90,Departamento,1,1,32.0996444,-116.5596254,True,True,0,True,True,3000,74
91,Departamento,1,1,31.9109,-116.599,True,False,0,True,True,11000,10
92,Casa,2,1,31.9109,-116.599,True,False,0,True,True,14000,16
93,Departamento,1,1,32.0996444,-116.5596254,True,True,0,True,True,1200,45
94,Departamento,1,1,32.0996444,-116.5596254,False,True,1,True,True,1600,37
95,Casa,3,2,32.09484525,-116.859568,True,True,0,True,True,34235,25
96,Departamento,3,1,31.88907072,-116.6014608,True,False,0,True,False,11000,51
97,Casa,3,2,31.892145,-116.694361,True,True,1,True,True,26500,85
98,Casa,3,2,31.8938,-116.693,True,False,1,True,False,51816,25
99,Casa,2,1,31.869004,-116.65879,False,True,0,True,True,26000,18
100,Departamento,2,1,31.886873,-116.6066911,False,False,0,False,True,10000,27
