id,renta_id,fecha_inicio,fecha_fin,precio
150,77,2024-09-20,2025-01-25,17041
151,77,2025-01-26,2025-05-10,20430
152,78,2022-11-09,2023-01-19,22042
153,78,2023-01-20,2023-05-17,22005
154,78,2023-05-18,2023-10-15,16535
155,79,2024-03-05,2024-06-03,13133
156,79,2024-06-04,2024-11-22,12226
157,79,2024-11-23,2025-02-19,12005
158,80,2025-06-02,2025-08-23,29625
159,80,2025-08-24,2025-12-06,36913
160,80,2025-12-07,2026-04-11,40726
161,81,2024-02-02,2024-06-25,18048
162,81,2024-06-26,2024-11-09,23170
163,81,2024-11-10,2025-02-18,18760
164,82,2025-08-02,2026-01-19,13328
165,82,2026-01-20,2026-07-14,16449
166,83,2025-08-21,2025-12-28,7474
167,84,2024-01-13,2024-05-23,4822
168,85,2023-07-21,2024-01-09,18303
169,86,2025-06-29,2025-10-03,11721
170,86,2025-10-04,2026-03-09,9166
171,87,2025-06-23,2025-10-24,24639
172,87,2025-10-25,2026-02-07,26287
173,87,2026-02-08,2026-07-14,25941
174,88,2025-04-22,2025-09-21,9363
175,88,2025-09-22,2026-01-31,9962
176,88,2026-02-01,2026-06-02,12093
177,89,2024-11-30,2025-02-13,11221
178,90,2022-12-30,2023-04-11,6961
179,90,2023-04-12,2023-08-03,7473
180,91,2024-04-14,2024-09-02,20716
181,91,2024-09-03,2024-12-24,19561
182,92,2023-11-17,2024-02-12,9946
183,92,2024-02-13,2024-06-26,10467
184,92,2024-06-27,2024-11-29,13119
185,93,2023-05-09,2023-08-17,14527
186,93,2023-08-18,2023-11-02,16984
187,94,2025-02-03,2025-06-13,17326
188,94,2025-06-14,2025-09-25,20761
189,94,2025-09-26,2025-12-12,19152
190,95,2024-07-14,2024-09-26,17401
191,96,2024-06-05,2024-09-21,9031
192,96,2024-09-22,2025-03-19,9780
193,97,2024-06-07,2024-10-24,13341
194,97,2024-10-25,2025-04-17,16637
195,97,2025-04-18,2025-08-04,18623
196,98,2022-12-26,2023-03-13,16518
197,98,2023-03-14,2023-06-08,15140
198,99,2025-01-30,2025-05-08,6748
199,99,2025-05-09,2025-07-10,6520
200,100,2025-09-30,2026-02-11,7577
201,100,2026-02-12,2026-05-18,7655
202,100,2026-05-19,2026-08-18,6795
