id,renta_id,fecha_inicio,fecha_fin,precio
104,55,2025-07-20,2025-11-02,3018
105,56,2025-10-08,2026-01-04,11469
106,57,2025-01-28,2025-07-04,29624
107,57,2025-07-05,2025-09-30,35231
108,57,2025-10-01,2026-02-20,37103
109,58,2023-08-27,2024-01-22,16892
110,59,2024-04-29,2024-09-07,7324
111,59,2024-09-08,2024-12-07,5250
112,59,2024-12-08,2025-05-09,5676
113,60,2024-08-22,2024-11-25,14152
114,60,2024-11-26,2025-04-08,12530
115,60,2025-04-09,2025-09-17,16069
116,61,2023-04-04,2023-08-11,12463
117,61,2023-08-12,2023-10-13,16178
118,62,2025-03-21,2025-06-17,7124
119,62,2025-06-18,2025-11-05,6060
120,62,2025-11-06,2026-02-22,5273
121,63,2025-02-25,2025-06-30,25030
122,63,2025-07-01,2025-11-14,32509
123,64,2023-04-06,2023-06-16,24907
124,65,2023-12-10,2024-04-18,19864
125,65,2024-04-19,2024-08-31,16594
126,65,2024-09-01,2024-11-01,18014
127,66,2023-05-20,2023-10-17,7093
128,66,2023-10-18,2024-04-09,6776
129,67,2023-02-04,2023-06-09,7693
130,68,2025-01-20,2025-05-31,16652
131,68,2025-06-01,2025-09-05,17937
132,69,2023-10-25,2024-01-12,6675
133,70,2023-10-26,2024-03-26,18171
134,70,2024-03-27,2024-09-11,22724
135,70,2024-09-12,2025-01-24,27876
136,71,2023-03-18,2023-05-22,19351
137,71,2023-05-23,2023-07-23,16378
138,72,2025-09-11,2025-12-06,5980
139,72,2025-12-07,2026-05-02,4865
140,73,2023-10-24,2024-01-08,19421
141,73,2024-01-09,2024-06-26,14280
142,73,2024-06-27,2024-10-20,16951
143,74,2025-05-09,2025-10-02,11592
144,74,2025-10-03,2026-01-28,9187
145,75,2023-09-22,2023-12-13,10458
146,75,2023-12-14,2024-04-28,9969
147,76,2022-12-26,2023-03-21,15736
148,76,2023-03-22,2023-06-01,12719
149,76,2023-06-02,2023-08-18,9022
150,77,2022-11-23,2023-04-21,22227
151,77,2023-04-22,2023-08-10,15889
152,78,2024-06-10,2024-12-06,20567
153,79,2024-07-15,2025-01-02,6164
154,79,2025-01-03,2025-04-03,5057
155,80,2025-05-11,2025-10-09,11685
156,80,2025-10-10,2026-02-18,10920
157,80,2026-02-19,2026-08-14,8490
158,81,2024-12-05,2025-04-26,16574
159,82,2023-08-13,2024-01-29,18041
160,82,2024-01-30,2024-05-06,22874
161,82,2024-05-07,2024-07-18,26277
162,83,2022-12-13,2023-06-05,24029
163,83,2023-06-06,2023-10-20,30864
164,84,2023-11-19,2024-01-25,10811
165,84,2024-01-26,2024-07-03,11283
166,85,2025-08-25,2025-12-16,24595
167,85,2025-12-17,2026-03-30,29187
168,85,2026-03-31,2026-06-04,37546
169,86,2024-08-02,2024-12-09,6305
170,86,2024-12-10,2025-03-07,6818
171,86,2025-03-08,2025-06-22,6978
172,87,2022-12-05,2023-05-20,10150
173,87,2023-05-21,2023-09-10,10111
174,87,2023-09-11,2023-12-19,10787
175,88,2024-08-30,2024-11-19,12198
176,89,2023-06-02,2023-11-18,7340
177,89,2023-11-19,2024-01-30,5196
178,89,2024-01-31,2024-04-20,6500
179,90,2023-01-06,2023-04-06,7698
180,91,2022-11-21,2023-02-28,25209
181,91,2023-03-01,2023-08-07,18912
182,92,2023-08-21,2024-02-17,19586
183,93,2023-03-23,2023-08-02,6270
184,93,2023-08-03,2023-10-05,6795
185,93,2023-10-06,2024-01-23,5539
186,94,2024-11-01,2025-03-20,28932
187,95,2024-07-19,2024-10-23,12986
188,96,2022-11-29,2023-03-31,13300
189,97,2023-06-24,2023-11-17,6065
190,97,2023-11-18,2024-02-04,5637
191,97,2024-02-05,2024-07-23,6757
192,98,2025-06-26,2025-11-29,6606
193,98,2025-11-30,2026-02-21,6933
194,99,2024-08-30,2025-02-08,10677
195,99,2025-02-09,2025-05-02,8628
196,100,2023-02-28,2023-08-24,11173
197,100,2023-08-25,2024-01-23,10011
198,101,2025-07-23,2025-11-29,30472
199,102,2024-07-29,2024-09-29,20095
200,102,2024-09-30,2025-02-09,15393
201,102,2025-02-10,2025-05-31,12539
202,103,2023-12-31,2024-04-25,17694
203,104,2024-05-03,2024-10-17,5196
204,104,2024-10-18,2025-03-30,4294
205,104,2025-03-31,2025-08-05,3611
206,105,2024-05-20,2024-09-12,4850
207,105,2024-09-13,2024-11-12,3840
208,106,2024-02-08,2024-07-08,17538
